system:index,date,day,month,solar_radiation,year,.geo
20160101,2016-01-01,1.0,1.0,6632692.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160102,2016-01-02,2.0,1.0,6683496.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160103,2016-01-03,3.0,1.0,3924740.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160104,2016-01-04,4.0,1.0,1.0162992E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160105,2016-01-05,5.0,1.0,9382352.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160106,2016-01-06,6.0,1.0,9006376.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160107,2016-01-07,7.0,1.0,1.0862204E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160108,2016-01-08,8.0,1.0,1.0650668E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160109,2016-01-09,9.0,1.0,8846752.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160110,2016-01-10,10.0,1.0,1.0866876E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160111,2016-01-11,11.0,1.0,1.1245476E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160112,2016-01-12,12.0,1.0,1.1401508E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160113,2016-01-13,13.0,1.0,6899800.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160114,2016-01-14,14.0,1.0,1.1169616E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160115,2016-01-15,15.0,1.0,1.04472E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160116,2016-01-16,16.0,1.0,6278724.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160117,2016-01-17,17.0,1.0,5650000.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160118,2016-01-18,18.0,1.0,1.1279012E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160119,2016-01-19,19.0,1.0,1.2196592E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160120,2016-01-20,20.0,1.0,1.0774596E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160121,2016-01-21,21.0,1.0,9791568.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160122,2016-01-22,22.0,1.0,1.1704316E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160123,2016-01-23,23.0,1.0,1.2361212E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160124,2016-01-24,24.0,1.0,1.2849664E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160125,2016-01-25,25.0,1.0,1.2296896E7,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160126,2016-01-26,26.0,1.0,8187484.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
