system:index,date,day,month,solar_radiation,year,.geo
20230101,2023-01-01,1.0,1.0,1.0372644E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230102,2023-01-02,2.0,1.0,1.0638896E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230103,2023-01-03,3.0,1.0,1.0751684E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230104,2023-01-04,4.0,1.0,1.0448752E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230105,2023-01-05,5.0,1.0,9606240.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230106,2023-01-06,6.0,1.0,8379352.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230107,2023-01-07,7.0,1.0,7187652.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230108,2023-01-08,8.0,1.0,1.0207588E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230109,2023-01-09,9.0,1.0,9820228.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230110,2023-01-10,10.0,1.0,1.1071196E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230111,2023-01-11,11.0,1.0,1.0935464E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230112,2023-01-12,12.0,1.0,1.0679052E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230113,2023-01-13,13.0,1.0,2089268.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230114,2023-01-14,14.0,1.0,1337336.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230115,2023-01-15,15.0,1.0,2945036.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230116,2023-01-16,16.0,1.0,1.20482E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230117,2023-01-17,17.0,1.0,8992212.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230118,2023-01-18,18.0,1.0,1.18475E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230119,2023-01-19,19.0,1.0,8534580.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230120,2023-01-20,20.0,1.0,1.2584912E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230121,2023-01-21,21.0,1.0,1.1981812E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230122,2023-01-22,22.0,1.0,8267312.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230123,2023-01-23,23.0,1.0,1.1098816E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230124,2023-01-24,24.0,1.0,1.3182816E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230125,2023-01-25,25.0,1.0,1.3020072E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230126,2023-01-26,26.0,1.0,6781984.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230127,2023-01-27,27.0,1.0,1.3254832E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230128,2023-01-28,28.0,1.0,1.2437744E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230129,2023-01-29,29.0,1.0,1.1669788E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230130,2023-01-30,30.0,1.0,1.3262468E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230131,2023-01-31,31.0,1.0,1.1057066E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230201,2023-02-01,1.0,2.0,1.3067358E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230202,2023-02-02,2.0,2.0,1.0582856E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230203,2023-02-03,3.0,2.0,1.2859134E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230204,2023-02-04,4.0,2.0,1.3578024E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230205,2023-02-05,5.0,2.0,1.317041E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230206,2023-02-06,6.0,2.0,1.2346028E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230207,2023-02-07,7.0,2.0,1.2433758E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230208,2023-02-08,8.0,2.0,1.4560088E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230209,2023-02-09,9.0,2.0,1.1437832E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230210,2023-02-10,10.0,2.0,8401758.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230211,2023-02-11,11.0,2.0,9865442.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230212,2023-02-12,12.0,2.0,9810712.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230213,2023-02-13,13.0,2.0,6175286.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230214,2023-02-14,14.0,2.0,1.3857392E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230215,2023-02-15,15.0,2.0,1.1805892E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230216,2023-02-16,16.0,2.0,1.0038734E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230217,2023-02-17,17.0,2.0,1.434408E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230218,2023-02-18,18.0,2.0,4692212.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230219,2023-02-19,19.0,2.0,1.4211272E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230220,2023-02-20,20.0,2.0,1.6836202E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230221,2023-02-21,21.0,2.0,1.71642E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230222,2023-02-22,22.0,2.0,1.6472292E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230223,2023-02-23,23.0,2.0,1.6529146E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230224,2023-02-24,24.0,2.0,1.719348E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230225,2023-02-25,25.0,2.0,1.7696322E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230226,2023-02-26,26.0,2.0,1.7767604E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230227,2023-02-27,27.0,2.0,1.7956462E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230228,2023-02-28,28.0,2.0,1.1721458E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230301,2023-03-01,1.0,3.0,1.1573802E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230302,2023-03-02,2.0,3.0,1.8717922E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
