system:index,date,day,month,solar_radiation,year,.geo
20210101,2021-01-01,1.0,1.0,9554940.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210102,2021-01-02,2.0,1.0,1.0710404E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210103,2021-01-03,3.0,1.0,1.01908E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210104,2021-01-04,4.0,1.0,8748672.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210105,2021-01-05,5.0,1.0,1.0921868E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210106,2021-01-06,6.0,1.0,1.078214E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210107,2021-01-07,7.0,1.0,1.1461372E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210108,2021-01-08,8.0,1.0,1.1317512E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210109,2021-01-09,9.0,1.0,1.0851404E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210110,2021-01-10,10.0,1.0,1.0356276E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210111,2021-01-11,11.0,1.0,6435836.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210112,2021-01-12,12.0,1.0,8883012.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210113,2021-01-13,13.0,1.0,1.046738E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210114,2021-01-14,14.0,1.0,1.1388716E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210115,2021-01-15,15.0,1.0,4058476.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210116,2021-01-16,16.0,1.0,1.193516E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210117,2021-01-17,17.0,1.0,1.1417988E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210118,2021-01-18,18.0,1.0,8098192.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210119,2021-01-19,19.0,1.0,1.1962524E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210120,2021-01-20,20.0,1.0,1.1999428E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210121,2021-01-21,21.0,1.0,3419540.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210122,2021-01-22,22.0,1.0,5593460.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210123,2021-01-23,23.0,1.0,4971148.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210124,2021-01-24,24.0,1.0,1.1209308E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210125,2021-01-25,25.0,1.0,1.0623172E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210126,2021-01-26,26.0,1.0,4527144.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210127,2021-01-27,27.0,1.0,1.2009404E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210128,2021-01-28,28.0,1.0,8554848.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210129,2021-01-29,29.0,1.0,1.34385E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210130,2021-01-30,30.0,1.0,1.1681524E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131,2021-01-31,31.0,1.0,1.1177904E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210201,2021-02-01,1.0,2.0,8537996.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210202,2021-02-02,2.0,2.0,1.35906E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210203,2021-02-03,3.0,2.0,1.2014836E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210204,2021-02-04,4.0,2.0,1.4249268E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210205,2021-02-05,5.0,2.0,1.1643984E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210206,2021-02-06,6.0,2.0,9260380.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
