system:index,date,day,month,solar_radiation,year,.geo
20150101,2015-01-01,1.0,1.0,1.0638364E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150102,2015-01-02,2.0,1.0,1.0074856E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150103,2015-01-03,3.0,1.0,9397552.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150104,2015-01-04,4.0,1.0,8447228.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150105,2015-01-05,5.0,1.0,7609044.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150106,2015-01-06,6.0,1.0,1.105478E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150107,2015-01-07,7.0,1.0,1.1036608E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150108,2015-01-08,8.0,1.0,1.0964632E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150109,2015-01-09,9.0,1.0,9911648.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150110,2015-01-10,10.0,1.0,1.0633536E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150111,2015-01-11,11.0,1.0,1.0958016E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150112,2015-01-12,12.0,1.0,1.1421632E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150113,2015-01-13,13.0,1.0,9547084.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150114,2015-01-14,14.0,1.0,5271868.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150115,2015-01-15,15.0,1.0,9352632.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150116,2015-01-16,16.0,1.0,4968784.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150117,2015-01-17,17.0,1.0,1.1828956E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150118,2015-01-18,18.0,1.0,7674668.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150119,2015-01-19,19.0,1.0,1.1586104E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150120,2015-01-20,20.0,1.0,1.0312704E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150121,2015-01-21,21.0,1.0,6892028.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150122,2015-01-22,22.0,1.0,1.03391E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150123,2015-01-23,23.0,1.0,1.0196708E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150124,2015-01-24,24.0,1.0,9101686.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20150125,2015-01-25,25.0,1.0,2702834.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
