system:index,date,day,month,solar_radiation,year,.geo
20190101,2019-01-01,1.0,1.0,8850680.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190102,2019-01-02,2.0,1.0,1.0587624E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190103,2019-01-03,3.0,1.0,1.045E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190104,2019-01-04,4.0,1.0,8661100.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190105,2019-01-05,5.0,1.0,1.0729928E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190106,2019-01-06,6.0,1.0,1.030762E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190107,2019-01-07,7.0,1.0,1.0345972E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190108,2019-01-08,8.0,1.0,1.0959104E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190109,2019-01-09,9.0,1.0,9459224.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190110,2019-01-10,10.0,1.0,6857568.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190111,2019-01-11,11.0,1.0,1.0197408E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190112,2019-01-12,12.0,1.0,1.0508076E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190113,2019-01-13,13.0,1.0,1.1076032E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190114,2019-01-14,14.0,1.0,9903032.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190115,2019-01-15,15.0,1.0,9489344.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190116,2019-01-16,16.0,1.0,1.1163328E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190117,2019-01-17,17.0,1.0,1.15723E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190118,2019-01-18,18.0,1.0,1.065936E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190119,2019-01-19,19.0,1.0,8092916.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190120,2019-01-20,20.0,1.0,1.2096536E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190121,2019-01-21,21.0,1.0,8091024.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190122,2019-01-22,22.0,1.0,1.0948264E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190123,2019-01-23,23.0,1.0,1.2089072E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190124,2019-01-24,24.0,1.0,1.2469976E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190125,2019-01-25,25.0,1.0,1.2655232E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190126,2019-01-26,26.0,1.0,1.291694E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190127,2019-01-27,27.0,1.0,1.167792E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190128,2019-01-28,28.0,1.0,1.2991716E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190129,2019-01-29,29.0,1.0,1.3152076E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190130,2019-01-30,30.0,1.0,1.1837824E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190131,2019-01-31,31.0,1.0,7267716.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190201,2019-02-01,1.0,2.0,1.2266718E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190202,2019-02-02,2.0,2.0,8676716.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
