system:index,date,day,month,solar_radiation,year,.geo
20170101,2017-01-01,1.0,1.0,7758524.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170102,2017-01-02,2.0,1.0,6994052.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170103,2017-01-03,3.0,1.0,1.0389804E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170104,2017-01-04,4.0,1.0,1.0369592E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170105,2017-01-05,5.0,1.0,6285884.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170106,2017-01-06,6.0,1.0,9287528.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170107,2017-01-07,7.0,1.0,9029864.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170108,2017-01-08,8.0,1.0,7921144.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170109,2017-01-09,9.0,1.0,1.0386356E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170110,2017-01-10,10.0,1.0,1.067062E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170111,2017-01-11,11.0,1.0,1.0960092E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170112,2017-01-12,12.0,1.0,1.0937012E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170113,2017-01-13,13.0,1.0,7543508.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170114,2017-01-14,14.0,1.0,1.17544E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170115,2017-01-15,15.0,1.0,1.173504E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170116,2017-01-16,16.0,1.0,1.185964E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170117,2017-01-17,17.0,1.0,9687384.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170118,2017-01-18,18.0,1.0,8703012.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170119,2017-01-19,19.0,1.0,1.1157888E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170120,2017-01-20,20.0,1.0,1.1194836E7,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20170121,2017-01-21,21.0,1.0,4522880.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
