system:index,date,day,month,solar_radiation,year,.geo
20200101,2020-01-01,1.0,1.0,6081100.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200102,2020-01-02,2.0,1.0,6045412.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200103,2020-01-03,3.0,1.0,1.03474E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200104,2020-01-04,4.0,1.0,1.000424E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200105,2020-01-05,5.0,1.0,1.0313272E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200106,2020-01-06,6.0,1.0,1877480.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200107,2020-01-07,7.0,1.0,983340.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200108,2020-01-08,8.0,1.0,4984608.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200109,2020-01-09,9.0,1.0,1.0810772E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200110,2020-01-10,10.0,1.0,1.0080224E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200111,2020-01-11,11.0,1.0,1.0939732E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200112,2020-01-12,12.0,1.0,1.0618476E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200113,2020-01-13,13.0,1.0,1.1320852E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200114,2020-01-14,14.0,1.0,1.1176016E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200115,2020-01-15,15.0,1.0,1.1539784E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200116,2020-01-16,16.0,1.0,1.1082844E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200117,2020-01-17,17.0,1.0,1.054962E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200118,2020-01-18,18.0,1.0,1.1892252E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200119,2020-01-19,19.0,1.0,9022480.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200120,2020-01-20,20.0,1.0,1.101934E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200121,2020-01-21,21.0,1.0,1.1888624E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200122,2020-01-22,22.0,1.0,9084952.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200123,2020-01-23,23.0,1.0,1.1900516E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200124,2020-01-24,24.0,1.0,1.1552016E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200125,2020-01-25,25.0,1.0,7369192.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200126,2020-01-26,26.0,1.0,1.1079588E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200127,2020-01-27,27.0,1.0,4164236.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200128,2020-01-28,28.0,1.0,4978448.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200129,2020-01-29,29.0,1.0,8147672.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200130,2020-01-30,30.0,1.0,1.0678528E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200131,2020-01-31,31.0,1.0,1.0150356E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200201,2020-02-01,1.0,2.0,1.182996E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200202,2020-02-02,2.0,2.0,8994140.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200203,2020-02-03,3.0,2.0,1.379144E7,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
