system:index,date,id,mean,.geo
20190501T00_0,2019-05-01,Point1,2.3370752E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T01_0,2019-05-01,Point1,2267696.25,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T02_0,2019-05-01,Point1,5096709.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T03_0,2019-05-01,Point1,8237328.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T04_0,2019-05-01,Point1,1.1325736E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T05_0,2019-05-01,Point1,1.4489255E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T06_0,2019-05-01,Point1,1.735894E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T07_0,2019-05-01,Point1,1.9718972E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T08_0,2019-05-01,Point1,2.1346858E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T09_0,2019-05-01,Point1,2.2308412E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T10_0,2019-05-01,Point1,2.263257E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T11_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T12_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T13_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T14_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T15_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T16_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T17_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T18_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T19_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T20_0,2019-05-01,Point1,2.2643318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T21_0,2019-05-01,Point1,2.2657728E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T22_0,2019-05-01,Point1,2.3019438E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190501T23_0,2019-05-01,Point1,2.4046866E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T00_0,2019-05-02,Point1,2.5825634E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T01_0,2019-05-02,Point1,2450831.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T02_0,2019-05-02,Point1,5429452.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T03_0,2019-05-02,Point1,8738941.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T04_0,2019-05-02,Point1,1.2153764E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T05_0,2019-05-02,Point1,1.5438692E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T06_0,2019-05-02,Point1,1.8370836E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T07_0,2019-05-02,Point1,2.0769774E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T08_0,2019-05-02,Point1,2.2498522E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T09_0,2019-05-02,Point1,2.3499472E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20190502T10_0,2019-05-02,Point1,2.3841306E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
