system:index,date,id,mean,.geo
20160501T00_0,2016-05-01,Point1,2.2404412E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T01_0,2016-05-01,Point1,2154001.25,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T02_0,2016-05-01,Point1,4902510.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T03_0,2016-05-01,Point1,7862392.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T04_0,2016-05-01,Point1,1.1087628E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T05_0,2016-05-01,Point1,1.4221542E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T06_0,2016-05-01,Point1,1.7044458E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T07_0,2016-05-01,Point1,1.934149E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T08_0,2016-05-01,Point1,2.0990116E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T09_0,2016-05-01,Point1,2.1947916E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T10_0,2016-05-01,Point1,2.2267238E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T11_0,2016-05-01,Point1,2.2278394E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T12_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T13_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T14_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T15_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T16_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T17_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T18_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T19_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20160501T20_0,2016-05-01,Point1,2.2278396E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
