system:index,date,id,mean,.geo
20210501T00_0,2021-05-01,Point1,1.3714968E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T01_0,2021-05-01,Point1,1022623.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T02_0,2021-05-01,Point1,2654803.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T03_0,2021-05-01,Point1,4068754.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T04_0,2021-05-01,Point1,5734951.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T05_0,2021-05-01,Point1,7773346.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T06_0,2021-05-01,Point1,9216030.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T07_0,2021-05-01,Point1,1.0318426E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T08_0,2021-05-01,Point1,1.1086266E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T09_0,2021-05-01,Point1,1.149036E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T10_0,2021-05-01,Point1,1.1662158E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T11_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T12_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T13_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T14_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T15_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T16_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T17_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T18_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T19_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T20_0,2021-05-01,Point1,1.1669388E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T21_0,2021-05-01,Point1,1.1680086E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20210501T22_0,2021-05-01,Point1,1.1934794E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
