system:index,date,day,month,solar_radiation,year,.geo
20140101,2014-01-01,1.0,1.0,9466272.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140102,2014-01-02,2.0,1.0,1.0428304E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140103,2014-01-03,3.0,1.0,8394100.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140104,2014-01-04,4.0,1.0,9605068.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140105,2014-01-05,5.0,1.0,9990124.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140106,2014-01-06,6.0,1.0,9428728.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140107,2014-01-07,7.0,1.0,4601176.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140108,2014-01-08,8.0,1.0,7894860.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140109,2014-01-09,9.0,1.0,1.1455476E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140110,2014-01-10,10.0,1.0,8616800.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140111,2014-01-11,11.0,1.0,1.0464192E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140112,2014-01-12,12.0,1.0,1.0692176E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140113,2014-01-13,13.0,1.0,1.1522576E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140114,2014-01-14,14.0,1.0,1.1392856E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140115,2014-01-15,15.0,1.0,1.1465732E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140116,2014-01-16,16.0,1.0,7715240.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140117,2014-01-17,17.0,1.0,1.1478472E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140118,2014-01-18,18.0,1.0,1.1732912E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140119,2014-01-19,19.0,1.0,1.0146084E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140120,2014-01-20,20.0,1.0,9090532.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140121,2014-01-21,21.0,1.0,1.2031032E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140122,2014-01-22,22.0,1.0,1.2032796E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140123,2014-01-23,23.0,1.0,9921292.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140124,2014-01-24,24.0,1.0,8418732.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140125,2014-01-25,25.0,1.0,2107728.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140126,2014-01-26,26.0,1.0,1.2766312E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140127,2014-01-27,27.0,1.0,1.2678056E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140128,2014-01-28,28.0,1.0,1.2396764E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140129,2014-01-29,29.0,1.0,1.225978E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140130,2014-01-30,30.0,1.0,2918156.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140131,2014-01-31,31.0,1.0,1.310716E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140201,2014-02-01,1.0,2.0,1570592.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140202,2014-02-02,2.0,2.0,3673012.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140203,2014-02-03,3.0,2.0,1.1163956E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140204,2014-02-04,4.0,2.0,1.4445332E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140205,2014-02-05,5.0,2.0,1.3576696E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140206,2014-02-06,6.0,2.0,1.2223912E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140207,2014-02-07,7.0,2.0,7895196.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140208,2014-02-08,8.0,2.0,5100888.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140209,2014-02-09,9.0,2.0,1.2590308E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140210,2014-02-10,10.0,2.0,1.0750636E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140211,2014-02-11,11.0,2.0,1.4214204E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140212,2014-02-12,12.0,2.0,1.1460896E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140213,2014-02-13,13.0,2.0,1.1133564E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140214,2014-02-14,14.0,2.0,1.1830132E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140215,2014-02-15,15.0,2.0,1.5405796E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140216,2014-02-16,16.0,2.0,1.216288E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140217,2014-02-17,17.0,2.0,1.0979672E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140218,2014-02-18,18.0,2.0,1.1198128E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140219,2014-02-19,19.0,2.0,1.3149332E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140220,2014-02-20,20.0,2.0,1.603342E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140221,2014-02-21,21.0,2.0,1.6829896E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140222,2014-02-22,22.0,2.0,1.6479452E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140223,2014-02-23,23.0,2.0,1.6557104E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140224,2014-02-24,24.0,2.0,1.4659536E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140225,2014-02-25,25.0,2.0,1.7035496E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140226,2014-02-26,26.0,2.0,1.708204E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140227,2014-02-27,27.0,2.0,1.5974106E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140228,2014-02-28,28.0,2.0,1.3642926E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140301,2014-03-01,1.0,3.0,9874572.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140302,2014-03-02,2.0,3.0,1.7751166E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140303,2014-03-03,3.0,3.0,1.8463548E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140304,2014-03-04,4.0,3.0,1.502105197265625E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140305,2014-03-05,5.0,3.0,1.9175512921875E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140306,2014-03-06,6.0,3.0,1.817946575E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140307,2014-03-07,7.0,3.0,1.96954234375E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140308,2014-03-08,8.0,3.0,1.8788721125E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140309,2014-03-09,9.0,3.0,2.00919204375E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140310,2014-03-10,10.0,3.0,2.0207900375E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140311,2014-03-11,11.0,3.0,1.81530218125E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140312,2014-03-12,12.0,3.0,8369648.75,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140313,2014-03-13,13.0,3.0,9788887.5,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140314,2014-03-14,14.0,3.0,1.8642528E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140315,2014-03-15,15.0,3.0,2.00739779375E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140316,2014-03-16,16.0,3.0,1.9239596125E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140317,2014-03-17,17.0,3.0,1.48040065E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140318,2014-03-18,18.0,3.0,1.84892414375E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140319,2014-03-19,19.0,3.0,7299816.125,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140320,2014-03-20,20.0,3.0,1.723859725E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140321,2014-03-21,21.0,3.0,2.123762E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140322,2014-03-22,22.0,3.0,2.1419698E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140323,2014-03-23,23.0,3.0,2.1553892E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140324,2014-03-24,24.0,3.0,1.9854224E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140325,2014-03-25,25.0,3.0,1.0248102E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140326,2014-03-26,26.0,3.0,1.3480714E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140327,2014-03-27,27.0,3.0,1.9890464E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140328,2014-03-28,28.0,3.0,2.0424736E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140329,2014-03-29,29.0,3.0,4214236.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140330,2014-03-30,30.0,3.0,1.7390754E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140331,2014-03-31,31.0,3.0,1.6410814E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140401,2014-04-01,1.0,4.0,2.2947464E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140402,2014-04-02,2.0,4.0,2.2996422E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140403,2014-04-03,3.0,4.0,1.1596842E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140404,2014-04-04,4.0,4.0,2.1330712E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140405,2014-04-05,5.0,4.0,2.0096476E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140406,2014-04-06,6.0,4.0,2.4260442E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140407,2014-04-07,7.0,4.0,2.2982886E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140408,2014-04-08,8.0,4.0,2.344439E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140409,2014-04-09,9.0,4.0,1.9496996E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140410,2014-04-10,10.0,4.0,2.1788302E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140411,2014-04-11,11.0,4.0,1.6932426E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140412,2014-04-12,12.0,4.0,1.136554E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140413,2014-04-13,13.0,4.0,1.8473496E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140414,2014-04-14,14.0,4.0,2.3652218E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140415,2014-04-15,15.0,4.0,2.145624E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140416,2014-04-16,16.0,4.0,2.1054538E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140417,2014-04-17,17.0,4.0,1.828319E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140418,2014-04-18,18.0,4.0,2.276E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140419,2014-04-19,19.0,4.0,1.4980018E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140420,2014-04-20,20.0,4.0,2.3000966E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140421,2014-04-21,21.0,4.0,2.2715576E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140422,2014-04-22,22.0,4.0,2.35674E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140423,2014-04-23,23.0,4.0,2.5290734E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140424,2014-04-24,24.0,4.0,2.5702488E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140425,2014-04-25,25.0,4.0,2.5645568E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140426,2014-04-26,26.0,4.0,1.6704302E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140427,2014-04-27,27.0,4.0,6731850.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140428,2014-04-28,28.0,4.0,4939694.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140429,2014-04-29,29.0,4.0,1.65528E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140430,2014-04-30,30.0,4.0,1.7071252E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140501,2014-05-01,1.0,5.0,2.6015732E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140502,2014-05-02,2.0,5.0,2.2065192E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140503,2014-05-03,3.0,5.0,2.678153E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140504,2014-05-04,4.0,5.0,2.3851224E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140505,2014-05-05,5.0,5.0,2.6314088E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140506,2014-05-06,6.0,5.0,2.7254786E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140507,2014-05-07,7.0,5.0,2.5106122E7,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
