system:index,date,id,mean,.geo
20150501T00_0,2015-05-01,Point1,2.0527134E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T01_0,2015-05-01,Point1,2290588.25,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T02_0,2015-05-01,Point1,5090420.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T03_0,2015-05-01,Point1,8212225.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T04_0,2015-05-01,Point1,1.1444892E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T05_0,2015-05-01,Point1,1.4566878E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T06_0,2015-05-01,Point1,1.720712E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T07_0,2015-05-01,Point1,1.9468886E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T08_0,2015-05-01,Point1,2.1097414E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T09_0,2015-05-01,Point1,2.2038134E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T10_0,2015-05-01,Point1,2.2351014E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T11_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T12_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T13_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T14_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T15_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T16_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T17_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T18_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T19_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T20_0,2015-05-01,Point1,2.2361218E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T21_0,2015-05-01,Point1,2.2373214E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T22_0,2015-05-01,Point1,2.2625228E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150501T23_0,2015-05-01,Point1,2.3342258E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20150502T00_0,2015-05-02,Point1,2.4601422E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
