system:index,date,id,mean,.geo
20170501T00_0,2017-05-01,Point1,2.5853954E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T01_0,2017-05-01,Point1,2397454.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T02_0,2017-05-01,Point1,5322463.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T03_0,2017-05-01,Point1,8582128.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T04_0,2017-05-01,Point1,1.1954473E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T05_0,2017-05-01,Point1,1.5208636E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T06_0,2017-05-01,Point1,1.8121756E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T07_0,2017-05-01,Point1,2.0502352E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T08_0,2017-05-01,Point1,2.221452E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T09_0,2017-05-01,Point1,2.3200138E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T10_0,2017-05-01,Point1,2.3532636E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T11_0,2017-05-01,Point1,2.3544058E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T12_0,2017-05-01,Point1,2.3544058E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T13_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T14_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T15_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T16_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T17_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T18_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T19_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T20_0,2017-05-01,Point1,2.3544056E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T21_0,2017-05-01,Point1,2.355892E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T22_0,2017-05-01,Point1,2.3909284E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170501T23_0,2017-05-01,Point1,2.4915316E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T00_0,2017-05-02,Point1,2.6637156E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T01_0,2017-05-02,Point1,2343025.75,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T02_0,2017-05-02,Point1,5181275.5,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T03_0,2017-05-02,Point1,8203635.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T04_0,2017-05-02,Point1,1.1330045E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T05_0,2017-05-02,Point1,1.4247366E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T06_0,2017-05-02,Point1,1.673292E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T07_0,2017-05-02,Point1,1.8836152E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T08_0,2017-05-02,Point1,2.032419E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T09_0,2017-05-02,Point1,2.1203974E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T10_0,2017-05-02,Point1,2.146833E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T11_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T12_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T13_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T14_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T15_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T16_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T17_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T18_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T19_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T20_0,2017-05-02,Point1,2.1477738E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T21_0,2017-05-02,Point1,2.1494194E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T22_0,2017-05-02,Point1,2.185363E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170502T23_0,2017-05-02,Point1,2.2870532E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T00_0,2017-05-03,Point1,2.4604812E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T01_0,2017-05-03,Point1,2387781.25,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T02_0,2017-05-03,Point1,5295922.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T03_0,2017-05-03,Point1,8536600.0,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T04_0,2017-05-03,Point1,1.1892872E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T05_0,2017-05-03,Point1,1.5138318E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T06_0,2017-05-03,Point1,1.8053356E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T07_0,2017-05-03,Point1,2.0462856E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T08_0,2017-05-03,Point1,2.2207782E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T09_0,2017-05-03,Point1,2.3223214E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T10_0,2017-05-03,Point1,2.3573078E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T11_0,2017-05-03,Point1,2.3587066E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T12_0,2017-05-03,Point1,2.3587066E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T13_0,2017-05-03,Point1,2.3587066E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T14_0,2017-05-03,Point1,2.3587066E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T15_0,2017-05-03,Point1,2.3587066E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
20170503T16_0,2017-05-03,Point1,2.3587066E7,"{""type"":""Point"",""coordinates"":[127.00981,37.63801000000001]}"
